SeineID,Site,Replicate,Date,Time,Latitude,Longitude,Tide1,Tide2,Reach_m,Depth_m,Method,Habitat,Notes,Width_,Location
ANCN3JUL,Anchor River,3,7/9/19,14:15,59.7944,-151.85971,Slack,Low,25,0.7,beach seine,Sand/Gravel,Spawning Surf Smelt?,18,Nearshore
ANCU1JUL,Anchor River,1,7/10/19,10:30,59.77435,-151.86392,Slack,High,19.95,1.2,pole seine,Salt marsh,Reach x Width = [#1: 5 x PS] + [#2: 5.25 x PS] + [#3: 4.5 x PS] + [#4: 5.2 x PS],6,Upper
ANCL1JUL,Anchor River,1,7/10/19,12:23,59.77996,-151.85843,Ebb,Low,21,0.5,pole seine,Salt marsh,,3.3,Lower
ANCL2JUL,Anchor River,2,7/10/19,12:50,59.77988,-151.85837,Ebb,Low,25,0.25,pole seine,Salt marsh,,1.8,Lower
ANCF1JUL,Anchor River,1,7/10/19,14:15,59.77097,-151.84265,,,28,1.3,pole seine,Riparian,,6,Freshwater
TUTN1JUL,Tutka River,1,7/17/19,8:15,59.42009,-151.30443,Ebb,Low,25,1.1,beach seine,Sand/Gravel,,17,Nearshore
TUTN2JUL,Tutka River,2,7/17/19,8:55,59.42057,-151.30547,Ebb,Low,25,1.1,beach seine,Sand/Gravel,,17,Nearshore
TUTN3JUL,Tutka River,3,7/17/19,9:30,59.42142,-151.30528,Slack,Low,25,5,beach seine,Sand/Gravel,Coho were all smolts,17,Nearshore
HBCN1JUL,Halibut Cove,1,7/18/19,9:00,59.59336,-151.17072,Ebb,Low,25,1.3,beach seine,Sand/Gravel,,17,Nearshore
HBCN2JUL,Halibut Cove,2,7/18/19,10:15,59.59339,-151.1691,Slack,Low,25,5,beach seine,Sand/Gravel,,17,Nearshore
HBCN3JUL,Halibut Cove,3,7/18/19,10:50,59.59312,-151.16844,Flood,Low,25,5,beach seine,Sand/Gravel,Capelin spawning.,17,Nearshore
CHPN1JUL,Moosehead Point,1,7/19/19,10:15,59.57821,-151.31995,Ebb,Low,25,1,beach seine,Sand/Gravel,Flies. Sand/gravel intertidal,18,Nearshore
CHPN2JUL,Moosehead Point,2,7/19/19,11:00,59.57907,-151.31596,Slack,Low,25,1.8,beach seine,Sand/Gravel,,17,Nearshore
CHPN3JUL,Moosehead Point,3,7/19/19,11:45,59.57881,-151.3156,Flood,Low,25,4.4,beach seine,Sand/Gravel,,17,Nearshore
ANCL1AUG,Anchor River,1,8/8/19,11:00,59.77994,-151.85841,Ebb,High,29,0.25,pole seine,Salt marsh,,3,Lower
ANCF1AUG,Anchor River,1,8/6/19,11:25,59.77095,-151.84277,,,26,1.1,pole seine,Riparian,Dragonfly larva,4.5,Freshwater
ANCN1AUG,Anchor River,1,8/6/19,13:20,59.79437,-151.86009,Slack,Low,25,1.3,beach seine,Sand/Gravel,Pyropia. Sand,17,Nearshore
ANCN2AUG,Anchor River,2,8/6/19,14:05,59.79574,-151.85037,Flood,Low,25,1,beach seine,Sand/Gravel,,19,Nearshore
ANCN3AUG,Anchor River,3,8/6/19,14:39,59.79676,-151.85985,Flood,Low,25,1.3,beach seine,Sand/Gravel,,19,Nearshore
ANCL2AUG,Anchor River,2,8/8/19,11:35,59.77969,-151.85846,Ebb,High,25,0.25,pole seine,Salt marsh,,2.5,Lower
ANCU1AUG,Anchor River,1,8/8/19,12:20,59.77436,-151.86392,Ebb,High,22.2,1,pole seine,Salt marsh,"Reaches: (1) 4.2, (2) 3.9, (3) 4.5 (4) 4.2, (5) 4.5, (6) 5.1",6,Upper
CHPN1AUG,Moosehead Point,1,8/20/19,11:15,59.57811,-151.32016,Ebb,Low,25,1.4,beach seine,Sand/Gravel,,17,Nearshore
CHPN2AUG,Moosehead Point,2,8/20/19,12:01,59.57892,-151.31817,Slack,Low,30,1.1,beach seine,Sand/Gravel,,17,Nearshore
CHPN3AUG,Moosehead Point,3,8/20/19,12:35,59.57881,-151.3156,Flood,Low,25,4.6,beach seine,Sand/Gravel,GPS not recorded - copied from CHPN3JUL,17,Nearshore
HBCN1AUG,Halibut Cove,1,8/21/19,11:05,59.59249,-151.17109,Ebb,Low,25,0.6,beach seine,Sand/Gravel,,17,Nearshore
HBCN2AUG,Halibut Cove,2,8/21/19,11:30,59.59289,-151.17223,Ebb,Low,25,1.6,beach seine,Sand/Gravel,,18,Nearshore
HBCN3AUG,Halibut Cove,3,8/21/19,11:45,59.59252,-151.1741,Slack,Low,25,1.4,beach seine,Sand/Gravel,,17,Nearshore
HBCN4AUG,Halibut Cove,4,8/21/19,12:11,59.59266,-151.16872,Slack,Low,25,0.75,beach seine,Sand/Gravel,,17,Nearshore
HBCN5AUG,Halibut Cove,5,8/21/19,12:32,59.59241,-151.16534,Slack,Low,25,1.6,beach seine,Sand/Gravel,"Sandbar, gravel, rockweed, mussel shell",17,Nearshore
HBCN6AUG,Halibut Cove,6,8/21/19,12:45,59.593,-151.15935,Flood,Low,25,5,beach seine,Sand/Gravel,Chris took fish pictures,17,Nearshore
TUTN1AUG,Tutka River,1,8/22/19,13:00,59.42025,-151.30328,Slack,Low,25,1,beach seine,Sand/Gravel,,16,Nearshore
TUTN2AUG,Tutka River,2,8/22/19,13:30,59.42099,-151.30403,Slack,Low,25,1.1,beach seine,Sand/Gravel,,17,Nearshore
TUTN3AUG,Tutka River,3,8/22/19,14:00,59.41639,-151.30708,Flood,Low,25,1.5,beach seine,Sand/Gravel,Channel - cobble,17,Nearshore
ANCN1SEP,Anchor River,1,9/13/19,8:50,59.79428,-151.86021,Ebb,Low,25,0.8,beach seine,Sand/Gravel,,17,Nearshore
ANCN2SEP,Anchor River,2,9/13/19,9:30,59.79511,-151.86064,Slack,Low,25,1,beach seine,Sand/Gravel,,17,Nearshore
ANCN3SEP,Anchor River,3,9/13/19,10:15,59.79644,-151.86043,Flood,Low,25,1.2,beach seine,Sand/Gravel,,18,Nearshore
CHPN1SEP,Moosehead Point,1,9/16/19,9:53,59.57899,-151.31827,Ebb,Low,25,1.4,beach seine,Sand/Gravel,,17,Nearshore
CHPN2SEP,Moosehead Point,2,9/16/19,10:45,59.57883,-151.31601,Ebb,Low,25,2,beach seine,Sand/Gravel,"For future reference, seine was ~1/5 full",17,Nearshore
CHPN3SEP,Moosehead Point,3,9/16/19,11:30,59.57832,-151.31534,Flood,Low,25,4.3,beach seine,Sand/Gravel,,17,Nearshore
HBCN1SEP,Halibut Cove,1,9/17/19,9:46,59.59306,-151.172,Ebb,Low,25,1.9,beach seine,Sand/Gravel,"Cobble, gravel, silt",17,Nearshore
HBCN2SEP,Halibut Cove,2,9/17/19,10:15,59.59307,-151.17023,Ebb,Low,54,2,beach seine,Sand/Gravel,"Rocky, mud",17,Nearshore
HBCN3SEP,Halibut Cove,3,9/17/19,11:16,59.5927,-151.16788,Flood,Low,35,1.7,beach seine,Sand/Gravel,"Rocky, mud",17,Nearshore
TUTN1SEP,Tutka River,1,9/18/19,11:15,59.42079,-151.30425,Ebb,Low,49,1,beach seine,Sand/Gravel,,18,Nearshore
TUTN2SEP,Tutka River,2,9/18/19,11:50,59.42002,-151.30286,Ebb,Low,51,1.8,beach seine,Sand/Gravel,,18,Nearshore
TUTN3SEP,Tutka River,3,9/18/19,12:25,59.42136,-151.30438,Slack,Low,53,9.1,beach seine,Sand/Gravel,,18,Nearshore
HBCN1OCT,Halibut Cove,1,10/18/19,11:15,59.59273,-151.17252,Slack,Low,25,1.8,beach seine,Sand/Gravel,,17,Nearshore
HBCN2OCT,Halibut Cove,2,10/18/19,11:30,59.59243,-151.1702,Slack,Low,54,1,beach seine,Sand/Gravel,,17,Nearshore
HBCN3OCT,Halibut Cove,3,10/18/19,12:05,59.59207,-151.16615,Flood,Low,35,1.6,beach seine,Sand/Gravel,,17,Nearshore
HBCN4OCT,Halibut Cove,4,10/18/19,12:30,59.59308,-151.158,Flood,Low,25,3.6,beach seine,Sand/Gravel,Lots of Pandalis Shrimp - picture! Steeper gravel beach,17,Nearshore
ANCN1OCT,Anchor River,1,10/19/19,11:00,59.79313,-151.85779,Ebb,Low,25,1,beach seine,Sand/Gravel,,17,Nearshore
ANCN2OCT,Anchor River,2,10/19/19,12:00,59.79419,-151.8577,Slack,Low,25,1.1,beach seine,Sand/Gravel,,17,Nearshore
ANCN3OCT,Anchor River,3,10/19/19,12:30,59.7952,-151.85692,Slack,Low,25,0.9,beach seine,Sand/Gravel,,17,Nearshore
