Join_Count,TARGET_FID,JOIN_FID,SiteID,Lat,Lon,PHY_IDENT,LENGTH_M,VIDEOTAPE,DATE_TIME,FIRSTVIDEO,HabClass,HAB_CLASS_,INSIDE_X,INSIDE_Y
0,11,-1,1083,58.6851,-134.946467,,0,,,,,,0,0
0,12,-1,1084,58.5197,-134.85096,,0,,,,,,0,0
0,13,-1,1085,59.661817,-151.170433,,0,,,,,,0,0
1,14,194870,1086,59.601417,-151.167483,04/02/0241/A,68.06,CI09_HM_12,6/25/09,,40,Semi-Protected/Immobile/Rock,-16827861.77,8311665.76
1,15,193867,1087,59.451013,-151.50602,04/01/0332/C,692.672,CI09_HM_13,6/25/09,,50,Protected/Immobile/Rock,-16865684.63,8278717.502
1,16,87897,1088,58.3453667,-134.524167,10/05/0466/0,226,SE04_12,6/5/04,,63,Very Protected/Estuary,-14975352.15,8039953.374
1,17,42738,1089,58.329233,-134.60845,10/05/0006/0,309,SE04_11,6/5/04,SE04_0605172533,53,Protected/Estuary,-14984326.85,8037537.034
1,18,67863,1090,58.26145,-134.334567,10/05/0375/0,164,SE04_11,6/5/04,SE04_0605181436,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14953951.3,8022956.408
1,19,194259,1091,59.420369,-151.306006,04/01/0126/F,273.824,CI09_HM_13,6/25/09,,50,Protected/Immobile/Rock,-16843383.93,8272355.638
1,20,195071,1092,59.55589,-151.3659,04/02/0449/A,415.995,CI09_HM_12,6/25/09,,31,Semi-Exposed/Partially Mobile/Sediment or Rock & Sediment,-16849861.81,8301145.65
1,21,131655,111,56.25444445,-134.6643056,10/08/4096/0,762.2319612,SE07_SK_15,6/16/07,SE07_SK_20070616174456,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14990634.99,7609508.139
1,22,77937,113,57.24263889,-134.8763889,10/08/2091/0,1137.987688,SE07_SK_20,6/18/07,SE07_SK_20070618171619,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-15013528.54,7810651.761
1,23,159807,1137,67.05549,-163.22311,17/05/0099/0,1316.471589,,,,22,Exposed/Mobile/Sediment,-18171199.32,10172053.65
1,24,134720,1138,67.05922,-163.26697,17/05/0104/0,957.8857147,,,,42,Semi-Protected/Mobile/Sediment,-18174307.13,10172798.1
1,25,136802,1142,67.05576,-163.22145,17/05/0101/0,1528.433877,,,,42,Semi-Protected/Mobile/Sediment,-18171008.36,10172193.92
1,26,136802,1143,67.0558,-163.22127,17/05/0101/0,1528.433877,,,,42,Semi-Protected/Mobile/Sediment,-18171008.36,10172193.92
1,27,113602,115,57.75972222,-135.7930556,10/02/7086/0,1893.36268,,,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-15117768.94,7917644.073
1,28,119035,116,57.74305556,-135.7930556,10/02/7077/0,782.3031704,,,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-15116888.07,7913897.031
1,29,97615,117,57.26972222,-134.8683333,10/08/2126/0,334.4903011,SE07_SK_20,6/18/07,SE07_SK_20070618172013,41,Semi-Protected/Partially Mobile/Sediment or Rock & Sediment,-15013711.97,7815407.972
1,30,136802,1172,67.0558,-163.22127,17/05/0101/0,1528.433877,,,,42,Semi-Protected/Mobile/Sediment,-18171008.36,10172193.92
1,31,156423,1177,67.06604,-163.34491,17/05/6110/0,7735.310623,,,,22,Exposed/Mobile/Sediment,-18188583.02,10177125.61
1,32,99277,118,57.26555556,-134.8858333,10/08/2132/0,408.5647301,SE07_SK_20,6/18/07,SE07_SK_20070618172059,41,Semi-Protected/Partially Mobile/Sediment or Rock & Sediment,-15015492.05,7814596.33
1,33,156423,1182,67.06661333,-163.3423967,17/05/6110/0,7735.310623,,,,22,Exposed/Mobile/Sediment,-18188583.02,10177125.61
1,34,156423,1182,67.0668,-163.34901,17/05/6110/0,7735.310623,,,,22,Exposed/Mobile/Sediment,-18188583.02,10177125.61
1,35,121286,1187,66.53041,-164.72633,17/03/6041/0,1927.835146,,,,41,Semi-Protected/Partially Mobile/Sediment or Rock & Sediment,-18336555.36,10024246.91
1,36,43660,119,58.04985834,-135.67155,10/02/0232/0,206,SE04_01,6/3/04,SE04_0603144447,61,Very Protected/Partially Mobile/Sediment or Rock & Sediment,-15102841.37,7977671.61
1,37,43660,119,58.04971667,-135.6706,10/02/0232/0,206,SE04_01,6/3/04,SE04_0603144447,61,Very Protected/Partially Mobile/Sediment or Rock & Sediment,-15102841.37,7977671.61
1,38,147601,1191,65.901095,-167.2444,17/03/7347/0,613.7880312,,,,52,Protected/Mobile/Sediment,-18618199.65,9849443.277
1,39,124310,1195,65.903437,-167.23961,17/03/5047/0,309.1846908,,,,32,Semi-Exposed/Mobile/Sediment,-18616929.95,9851415.437
1,40,153833,1196,67.34508,-163.81944,17/05/6082/0,17738.64555,,,,53,Protected/Estuary,-18233682.6,10255009.49
1,41,116598,1197,67.34568,-163.82076,17/05/6046/0,539.006003,,,,22,Exposed/Mobile/Sediment,-18236614.76,10255610.16
1,42,153833,1198,67.34581,-163.82045,17/05/6082/0,17738.64555,,,,53,Protected/Estuary,-18233682.6,10255009.49
1,43,125093,12,58.54624995,-134.9230555,10/10/0086/0,124.750896,,,,40,Semi-Protected/Immobile/Rock,-15019579.47,8082895.193
1,44,153833,1202,67.34618,-163.81861,17/05/6082/0,17738.64555,,,,53,Protected/Estuary,-18233682.6,10255009.49
1,45,125869,1206,67.348044,-163.81977,17/05/6047/0,849.85857,,,,52,Protected/Mobile/Sediment,-18236568.81,10256708.39
1,46,73317,121,58.03277778,-135.6422222,10/02/0214/0,355,SE04_01,6/3/04,SE04_0603144234,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-15099318.27,7974415.299
1,47,143794,1219,67.389441,-163.844666,17/05/6052/0,3971.066079,,,,52,Protected/Mobile/Sediment,-18239358.06,10267308.75
1,48,54587,122,58.05222222,-135.6458333,10/02/0276/0,251,SE04_01,6/3/04,SE04_0603145818,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-15100054.73,7978374.71
0,49,-1,1223,67.3895,-163.85854,,0,,,,,,0,0
1,50,87493,123,58.11027778,-136.2769445,10/02/1177/0,441,SE04_04,6/3/04,SE04_0603175411,52,Protected/Mobile/Sediment,-15169950.95,7990266.398
1,51,57688,123,58.11111111,-136.2788889,10/02/1176/0,477,SE04_04,6/3/04,SE04_0603175353,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-15170369.87,7990992.507
1,52,153833,1232,67.346086,-163.818484,17/05/6082/0,17738.64555,,,,53,Protected/Estuary,-18233682.6,10255009.49
1,53,139906,1242,67.12978,-163.51254,17/05/0001/0,710.654018,,,,52,Protected/Mobile/Sediment,-18202464.33,10192858.25
1,54,139906,1248,67.13029,-163.51117,17/05/0001/0,710.654018,,,,52,Protected/Mobile/Sediment,-18202464.33,10192858.25
1,55,85721,125,58.15527778,-136.3080556,10/02/1126/0,172,SE04_04,6/3/04,SE04_0603174628,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-15173698.32,8000073.253
1,56,139906,1255,67.13126,-163.5169,17/05/0001/0,710.654018,,,,52,Protected/Mobile/Sediment,-18202464.33,10192858.25
1,57,139906,1258,67.13141,-163.50754,17/05/0001/0,710.654018,,,,52,Protected/Mobile/Sediment,-18202464.33,10192858.25
1,57,146402,1258,67.13141,-163.50754,17/05/6120/0,3611.735219,,,,59,,-18202685.95,10192321.15
1,58,159806,1259,67.13152,-163.51042,17/05/0073/0,645.063028,,,,52,Protected/Mobile/Sediment,-18201769.21,10193914.15
1,59,50795,126,58.12972222,-136.3,10/02/1163/0,116,SE04_04,6/3/04,SE04_0603175233,41,Semi-Protected/Partially Mobile/Sediment or Rock & Sediment,-15172871.79,7994703.11
1,60,159806,1263,67.13202,-163.51012,17/05/0073/0,645.063028,,,,52,Protected/Mobile/Sediment,-18201769.21,10193914.15
1,61,139906,1266,67.13242,-163.51787,17/05/0001/0,710.654018,,,,52,Protected/Mobile/Sediment,-18202464.33,10192858.25
1,62,106945,127,57.53138889,-134.9763889,10/02/4235/0,253.1103552,,,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-15025462.54,7869543.55
1,63,124974,1278,67.14414,-163.50748,17/05/0071/0,340.2906147,,,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-18201583.73,10197270.09
1,64,124974,1279,67.14416,-163.50758,17/05/0071/0,340.2906147,,,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-18201583.73,10197270.09
1,65,124974,1280,67.14471,-163.51021,17/05/0071/0,340.2906147,,,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-18201583.73,10197270.09
1,66,132468,1281,67.14491,-163.51122,17/05/0070/0,661.4276803,,,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-18202555.92,10198068.84
1,67,115812,1285,67.16216,-163.59747,17/05/0062/0,785.7988823,,,,52,Protected/Mobile/Sediment,-18212003.25,10202423.29
1,68,157809,1286,67.16221,-163.73554,17/05/0040/0,1972.634061,,,,52,Protected/Mobile/Sediment,-18227070.26,10200324.04
1,69,93931,129,57.52583334,-134.9672222,10/02/4232/0,505.186127,,,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-15024261.95,7867984.527
1,70,139906,1296,67.13043,-163.512627,17/05/0001/0,710.654018,,,,52,Protected/Mobile/Sediment,-18202464.33,10192858.25
1,71,105548,13,58.5480555,-134.9255555,10/10/0084/0,184.3810235,,,,40,Semi-Protected/Immobile/Rock,-15019702.14,8083251.57
1,72,152702,1304,67.27766,-163.77054,17/05/6095/0,1501.758821,,,,52,Protected/Mobile/Sediment,-18230580.47,10233754.31
1,73,146993,1305,67.27839,-163.77165,17/05/6091/0,428.6257588,,,,52,Protected/Mobile/Sediment,-18231089.14,10236305.69
1,74,144656,1307,67.0627,-163.30469,17/05/6111/0,663.3159537,,,,22,Exposed/Mobile/Sediment,-18178979.97,10173916.7
1,75,144656,1308,67.062615,-163.305935,17/05/6111/0,663.3159537,,,,22,Exposed/Mobile/Sediment,-18178979.97,10173916.7
1,76,51811,131,55.57749445,-133.0942722,12/07/0899/0,708.283,SE06_CH_06,7/10/06,SE06_CH_0710151112,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14815909.59,7474814.708
1,77,144656,1315,67.063,-163.30658,17/05/6111/0,663.3159537,,,,22,Exposed/Mobile/Sediment,-18178979.97,10173916.7
1,78,156423,1317,67.06695,-163.34492,17/05/6110/0,7735.310623,,,,22,Exposed/Mobile/Sediment,-18188583.02,10177125.61
1,79,140361,1318,67.07357,-163.3705,17/05/0089/0,862.0418574,,,,59,,-18186094.32,10176958.86
1,80,144656,1320,67.06289,-163.30603,17/05/6111/0,663.3159537,,,,22,Exposed/Mobile/Sediment,-18178979.97,10173916.7
1,81,156304,1321,67.06624,-163.32917,17/05/6113/0,1736.333378,,,,59,,-18182398.14,10175121.16
0,82,-1,1325,67.14477,-163.57093,,0,,,,,,0,0
1,83,156304,1329,67.067741,-163.34448,17/05/6113/0,1736.333378,,,,59,,-18182398.14,10175121.16
1,84,47431,133,55.56208333,-133.0995833,12/07/0905/0,868.731,SE06_CH_06,7/10/06,SE06_CH_0710151347,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14816206.14,7471328.1
1,85,134720,1330,67.05863,-163.25677,17/05/0104/0,957.8857147,,,,42,Semi-Protected/Mobile/Sediment,-18174307.13,10172798.1
1,86,116598,1340,67.34601,-163.82133,17/05/6046/0,539.006003,,,,22,Exposed/Mobile/Sediment,-18236614.76,10255610.16
1,87,134720,1349,67.0593,-163.26498,17/05/0104/0,957.8857147,,,,42,Semi-Protected/Mobile/Sediment,-18174307.13,10172798.1
1,88,60945,135,55.50055556,-133.1659722,12/07/0958/0,331.917,SE06_CH_06,7/10/06,SE06_CH_0710155456,41,Semi-Protected/Partially Mobile/Sediment or Rock & Sediment,-14823847.39,7459899.563
1,89,60951,137,55.48731667,-133.1414167,12/07/0946/0,234.178,SE06_CH_06,7/10/06,SE06_CH_0710154912,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14821092.61,7457000.07
1,90,136802,1372,67.056883,-163.219036,17/05/0101/0,1528.433877,,,,42,Semi-Protected/Mobile/Sediment,-18171008.36,10172193.92
0,91,-1,1373,67.134581,-163.543982,,0,,,,,,0,0
0,92,-1,1374,67.391102,-163.842062,,0,,,,,,0,0
1,93,136802,1375,67.058824,-163.245841,17/05/0101/0,1528.433877,,,,42,Semi-Protected/Mobile/Sediment,-18171008.36,10172193.92
1,94,142601,1377,67.246222,-163.751696,17/05/6098/0,3128.925706,,,,22,Exposed/Mobile/Sediment,-18228461.94,10226337.24
1,95,194522,1379,59.60766,-151.421507,04/02/0007/A,928.631,CI09_HM_11,6/25/09,,40,Semi-Protected/Immobile/Rock,-16856266.94,8312945.54
1,96,193475,1380,59.48277077,-151.6548254,04/01/0401/A,287.142,CI09_HM_19,6/27/09,,32,Semi-Exposed/Mobile/Sediment,-16882043.45,8285548.459
1,97,194260,1381,59.4192504,-151.3040432,04/01/0127/A,241.733,CI09_HM_13,6/25/09,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-16842959.15,8272130.941
1,98,35750,1382,59.79375333,-151.8581483,04/03/0005/0,783.678,CI01_05,6/22/01,CI09_HM_20090623202119,33,Semi-Exposed/Estuary,-16904574.82,8353350.865
1,99,194875,1383,59.59323564,-151.1699358,04/02/0246/A,1177.382,CI09_HM_12,6/25/09,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-16828150.12,8308797.799
1,100,195021,1384,59.5748875,-151.294185,04/02/0395/A,287.972,CI09_HM_12,6/25/09,,40,Semi-Protected/Immobile/Rock,-16842129.76,8305617.608
1,101,194851,1385,59.65357667,-151.1927339,04/02/0208/A,465.505,CI09_HM_12,6/25/09,,31,Semi-Exposed/Partially Mobile/Sediment or Rock & Sediment,-16830687.99,8322634.343
1,102,193552,1386,59.43532846,-151.7149185,04/01/0464/A,138.46,CI09_HM_19,6/27/09,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-16888844.46,8274684.793
1,103,195029,1387,59.57870735,-151.3085477,04/02/0404/A,540.072,CI09_HM_12,6/25/09,,40,Semi-Protected/Immobile/Rock,-16843902.22,8306239.042
1,104,193465,1388,59.48218353,-151.6346473,04/01/0395/A,143.044,CI09_HM_19,6/27/09,,30,Semi-Exposed/Immobile/Rock,-16879940.15,8285495.464
1,105,193739,1389,59.4418,-151.71947,04/01/0430/A,291.253,CI09_HM_19,6/27/09,,40,Semi-Protected/Immobile/Rock,-16889275.68,8276367.978
1,106,35750,1391,59.79374083,-151.8583875,04/03/0005/0,783.678,CI01_05,6/22/01,CI09_HM_20090623202119,33,Semi-Exposed/Estuary,-16904574.82,8353350.865
1,107,194260,1392,59.41951211,-151.303589,04/01/0127/A,241.733,CI09_HM_13,6/25/09,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-16842959.15,8272130.941
0,108,-1,1393,59.57869063,-151.3803494,,0,,,,,,0,0
1,109,194875,1394,59.59288944,-151.1684967,04/02/0246/A,1177.382,CI09_HM_12,6/25/09,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-16828150.12,8308797.799
1,110,194463,1395,59.77270538,-151.8691497,04/03/0001/A,708.187,CI09_HM_11,6/25/09,,33,Semi-Exposed/Estuary,-16905801.38,8349707.65
1,111,39338,1396,60.05420713,-151.6730467,04/03/0037/0,264.734,CI01_05,6/22/01,CI09_HM_20090623200422,32,Semi-Exposed/Mobile/Sediment,-16883804.35,8411242.861
1,112,1219,1397,59.91455917,-151.7601333,04/03/0024/0,1134.168,CI01_05,6/22/01,CI09_HM_20090623201207,32,Semi-Exposed/Mobile/Sediment,-16893793.52,8380576.314
1,113,531,1398,57.83779433,-152.439541,05/07/0519/0,312.658,KI2002-05,6/12/02,KI2002_0612161847,41,Semi-Protected/Partially Mobile/Sediment or Rock & Sediment,-16969550.55,7933810.862
1,114,9003,1399,57.81482367,-152.424909,05/07/0501/0,522.727,KI2002-05,6/12/02,KI2002_0612161543,43,Semi-Protected/Estuary,-16967752.9,7928231.23
1,115,106481,14,58.50249995,-134.8666666,10/10/0078/0,467.7559609,,,,40,Semi-Protected/Immobile/Rock,-15013417.84,8073660.894
1,116,193821,1400,59.47233,-151.51973,04/01/0312/C,97.342,CI09_HM_13,6/25/09,,40,Semi-Protected/Immobile/Rock,-16867153.74,8283117.877
1,117,193394,1401,59.48267,-151.51926,04/01/0253/A,137.555,CI09_HM_13,6/25/09,,41,Semi-Protected/Partially Mobile/Sediment or Rock & Sediment,-16867025.12,8285541.636
1,118,193457,1402,59.48031,-151.62527,04/01/0390/B,294.676,CI09_HM_19,6/27/09,,40,Semi-Protected/Immobile/Rock,-16878723.09,8284940.26
1,119,46173,141,55.53597222,-133.1054167,12/07/0939/0,2893.786,SE06_CH_06,7/10/06,SE06_CH_0710154630,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14818579.58,7465003.84
1,120,80271,143,55.50986111,-133.1318056,12/07/0942/0,1582.687,SE06_CH_06,7/10/06,SE06_CH_0710154802,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14820328.15,7460480.033
1,121,80271,143,55.50985972,-133.1318083,12/07/0942/0,1582.687,SE06_CH_06,7/10/06,SE06_CH_0710154802,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14820328.15,7460480.033
1,122,80271,145,55.50985834,-133.1318111,12/07/0942/0,1582.687,SE06_CH_06,7/10/06,SE06_CH_0710154802,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14820328.15,7460480.033
1,123,96837,147,56.19013889,-132.3098611,11/03/3218/0,399.1246888,,,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14728667.56,7596420.149
1,124,123216,149,56.22527778,-132.3801389,11/03/3249/0,174.8746242,,,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14736493.42,7603312.271
1,125,106481,15,58.5019444,-134.8663888,10/10/0078/0,467.7559609,,,,40,Semi-Protected/Immobile/Rock,-15013417.84,8073660.894
1,126,117374,151,56.15620371,-132.6951852,11/03/4222/0,192.1313012,,,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14771394.52,7589373.381
1,127,181068,1521,54.126923,-165.809749,14/01/2346/0,312.468,AI16_UA_27,4/14/16,,42,Semi-Protected/Mobile/Sediment,-18458064.52,7194147.458
1,128,181077,1521,54.1312005,-165.809332,14/01/2355/0,56.181,AI16_UA_27,4/14/16,,42,Semi-Protected/Mobile/Sediment,-18457753.5,7195836.911
1,129,181071,1522,54.13049,-165.8223933,14/01/2349/0,413.663,AI16_UA_27,4/14/16,,47,Semi-Protected/Anthropogenic Permeable,-18459351.69,7194602.303
1,130,183167,1523,54.145628,-165.734907,14/01/2379/0,113.476,AI16_UA_27,4/14/16,,41,Semi-Protected/Partially Mobile/Sediment or Rock & Sediment,-18449446.54,7197757.213
1,131,181061,1526,54.125489,-165.797241,14/01/2339/0,99.996,AI16_UA_27,4/14/16,,47,Semi-Protected/Anthropogenic Permeable,-18456453.06,7193874.919
1,132,181073,1528,54.131826,-165.822604,14/01/2351/0,191.368,AI16_UA_27,4/14/16,,47,Semi-Protected/Anthropogenic Permeable,-18459283.85,7195294.656
1,133,183145,1529,54.135145,-165.799687,14/01/2357/0,1004.44,AI16_UA_27,4/14/16,,42,Semi-Protected/Mobile/Sediment,-18456813.96,7195760.815
1,134,183128,1530,54.11697,-165.728813,14/01/2314/0,562.8,AI16_UA_27,4/14/16,,41,Semi-Protected/Partially Mobile/Sediment or Rock & Sediment,-18449065.25,7192046.957
1,135,183130,1533,54.113008,-165.737353,14/01/2316/0,144.932,AI16_UA_27,4/14/16,,42,Semi-Protected/Mobile/Sediment,-18449877.97,7191504.869
1,136,183149,1535,54.133771,-165.7859495,14/01/2361/0,308.934,AI16_UA_27,4/14/16,,46,Semi-Protected/Anthropogenic Impermeable,-18455157.65,7195150.302
1,137,195210,1539,59.70255,-151.1078,04/02/0171/A,680.991,CI09_HM_12,6/25/09,,42,Semi-Protected/Mobile/Sediment,-16820860.82,8333926.568
1,138,106624,154,56.1625,-132.71,11/03/4233/0,95.75376917,,,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14773267.77,7590723.73
0,139,-1,1540,51.7798,-176.809235,,0,,,,,,0,0
0,140,-1,1542,51.85358,-176.7442,,0,,,,,,0,0
0,141,-1,1543,51.91339,-176.56541,,0,,,,,,0,0
0,142,-1,1544,51.89924,-176.62074,,0,,,,,,0,0
0,143,-1,1545,51.746965,-176.84409,,0,,,,,,0,0
0,144,-1,1547,51.74552,-176.82899,,0,,,,,,0,0
0,145,-1,1548,51.67776,-176.95207,,0,,,,,,0,0
0,146,-1,1549,51.72252,-176.83415,,0,,,,,,0,0
1,147,91723,155,55.77333333,-133.5340278,11/05/4050/0,439.5166726,SE07_SS_04,7/29/07,SE07_SS_20070729132652,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14864857.95,7513065.316
0,148,-1,1550,51.64313,-176.806175,,0,,,,,,0,0
0,149,-1,1552,51.6606,-176.64891,,0,,,,,,0,0
0,150,-1,1553,51.67484,-176.63486,,0,,,,,,0,0
0,151,-1,1554,51.75521,-176.52139,,0,,,,,,0,0
0,152,-1,1555,51.774865,-176.44036,,0,,,,,,0,0
0,153,-1,1557,51.9803775,-175.88195,,0,,,,,,0,0
0,154,-1,1559,51.83629,-176.14082,,0,,,,,,0,0
0,155,-1,1561,51.8289,-176.12143,,0,,,,,,0,0
0,156,-1,1562,51.79784,-176.1675,,0,,,,,,0,0
0,157,-1,1563,51.81217,-176.13684,,0,,,,,,0,0
0,158,-1,1564,52.65134,-170.75113,,0,,,,,,0,0
1,159,186420,1565,56.19755,-156.79077,07/09/1415/0,1034.174,SW16_CK_13,5/9/16,,32,Semi-Exposed/Mobile/Sediment,-17453848,7597313.304
1,160,203929,1566,55.06981,-159.76508,08/01/3355/0,288.2633057,SW11_SP_09,5/19/11,,42,Semi-Protected/Mobile/Sediment,0,0
1,161,203917,1567,55.06818,-159.78026,08/01/3337/0,188.2352644,SW11_SP_09,5/19/11,,32,Semi-Exposed/Mobile/Sediment,0,0
1,162,200655,1568,55.1089,-159.73375,08/01/5395/0,718.0950733,SW11_SP_10,5/19/11,,42,Semi-Protected/Mobile/Sediment,0,0
1,163,200678,1569,55.13522,-159.86259,08/01/5421/0,96.51365689,SW11_SP_10,5/19/11,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,0,0
1,164,98311,157,55.75722223,-133.4709722,11/05/4093/0,314.8922427,SE07_SS_04,7/29/07,SE07_SS_20070729133732,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14857829.77,7510228.525
1,165,200695,1570,55.12706,-159.84164,08/01/5438/0,328.262291,SW11_SP_10,5/19/11,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,0,0
0,166,-1,1571,51.9829,-175.88939,,0,,,,,,0,0
0,167,-1,1573,52.03113,-175.11563,,0,,,,,,0,0
0,168,-1,1574,52.00232,-176.062045,,0,,,,,,0,0
0,169,-1,1576,51.92559,-175.78078,,0,,,,,,0,0
0,170,-1,1577,51.99766,-176.10692,,0,,,,,,0,0
0,171,-1,1578,51.99235,-176.09102,,0,,,,,,0,0
0,172,-1,1579,51.8015,-176.74863,,0,,,,,,0,0
0,173,-1,1580,51.79453,-176.78412,,0,,,,,,0,0
0,174,-1,1582,58.95227,-152.142874,,0,,,,,,0,0
1,175,193942,1583,59.481416,-151.561716,04/01/0365/A,224.366,CI09_HM_13,6/25/09,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-16871856.48,8285106.518
1,176,193472,1585,59.48575,-151.6450333,04/01/0399/A,359.576,CI09_HM_19,6/27/09,,32,Semi-Exposed/Mobile/Sediment,-16881202.13,8286147.877
1,177,37878,1586,60.10195,-152.597829,04/06/0291/0,707.1,CI01_04,6/22/01,CI09_HM_20090622163725,32,Semi-Exposed/Mobile/Sediment,-16987494.39,8422732.181
1,178,156149,1587,60.108167,-152.581657,04/06/0298/0,672.248,CI01_04,6/22/01,CI09_HM_20090622170757,42,Semi-Protected/Mobile/Sediment,-16984749.14,8423584.905
1,179,5282,1587,60.110787,-152.585505,04/06/0300/0,161.472,CI01_04,6/22/01,CI09_HM_20090622170748,42,Semi-Protected/Mobile/Sediment,-16985620.61,8424495.914
1,180,195180,1588,59.53958333,-151.4712833,04/01/0005/A,649.674,CI09_HM_12,6/25/09,,42,Semi-Protected/Mobile/Sediment,-16861789.67,8297922.781
1,181,195069,1589,59.56788333,-151.3482833,04/02/0447/A,1101.454,CI09_HM_12,6/25/09,,32,Semi-Exposed/Mobile/Sediment,-16847107.5,8304387.537
1,182,195069,1589,59.56846517,-151.3398532,04/02/0447/A,1101.454,CI09_HM_12,6/25/09,,32,Semi-Exposed/Mobile/Sediment,-16847107.5,8304387.537
1,183,62530,159,58.38111667,-134.6924333,10/04/0784/0,428,SE04_08,6/4/04,SE04_0604184017,53,Protected/Estuary,-14994202.73,8047969.858
1,184,195068,1590,59.571184,-151.312972,04/02/0445/A,567.424,CI09_HM_12,6/25/09,,41,Semi-Protected/Partially Mobile/Sediment or Rock & Sediment,-16844373.97,8304725.071
1,185,195036,1592,59.566985,-151.2958,04/02/0412/A,1416.44,CI09_HM_12,6/25/09,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-16842529.66,8304612.093
1,186,195072,1593,59.552001,-151.368342,04/02/0450/A,335.681,CI09_HM_12,6/25/09,,32,Semi-Exposed/Mobile/Sediment,-16850168.5,8300627.32
1,187,193726,1595,59.42298333,-151.8735333,04/01/0585/C,187.01,CI09_HM_19,6/27/09,,41,Semi-Protected/Partially Mobile/Sediment or Rock & Sediment,-16906649.77,8272313.763
