"SiteID","RegionCode","Region","WebsiteLocation","RawSite","Lat","Long","Comments","Habitat","RawHab","Location","FA Locale","FA SubLocale","Nickname","SiteStatus","NoPosition","BadPosition","BadPositionDescription","AveragedPos"
11,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","B11",58.5547222,-134.8983333,,"Sand-Gravel",,"Lynn Canal","Benjamin Island",,"South Benjamin","yes",FALSE,FALSE,,FALSE
12,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Sentinel Island","B12",58.5444444,-134.9205555,,"Bedrock",,"Lynn Canal","Benjamin Island","Sentinel Island","Sentinel Island","yes",FALSE,FALSE,,FALSE
13,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Sentinel Island","B13",58.5480555,-134.9255555,,"Bedrock",,"Lynn Canal","Benjamin Island","Sentinel Island","Sentinel Island","yes",FALSE,FALSE,,FALSE
14,"GOA","Gulf of Alaska","southeastern Alaska, Favorite Channel, Gull Island","B14",58.5030555,-134.8669444,,"Kelp",,"Favorite Channel","Favorite Channel","Gull Island",,"yes",FALSE,FALSE,,FALSE
15,"GOA","Gulf of Alaska","southeastern Alaska, Favorite Channel, Gull Island","B15",58.5019444,-134.8663888,,"Kelp",,"Favorite Channel","Favorite Channel","Gull Island",,"yes",FALSE,FALSE,,FALSE
16,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, North Island","B18",58.57166667,-134.9241667,,"Sand-Gravel",,"Lynn Canal","Benjamin Island","North Island","North Island","yes",FALSE,FALSE,,FALSE
17,"GOA","Gulf of Alaska","southeastern Alaska, Berners Bay, Slate Creek Cove","B12",58.77778333,-135.0078,,"Sand-Gravel",,"Berners Bay","Berners Bay","Slate Creek Cove",,"yes",FALSE,FALSE,,FALSE
18,"GOA","Gulf of Alaska","southeastern Alaska, Berners Bay, Slate Creek Cove","B13",58.78516667,-135.0201667,,"Sand-Gravel",,"Berners Bay","Berners Bay","Slate Creek Cove",,"yes",FALSE,FALSE,,FALSE
19,"GOA","Gulf of Alaska","southeastern Alaska, Berners Bay, Slate Creek Cove","B14",58.7735,-134.9861667,,"Sand-Gravel",,"Berners Bay","Berners Bay","Slate Creek Cove",,"yes",FALSE,FALSE,,FALSE
20,"GOA","Gulf of Alaska","southeastern Alaska, Berners Bay","B15",58.77383333,-134.9353333,,"Sand-Gravel",,"Berners Bay","Berners Bay",,,"yes",FALSE,TRUE,,FALSE
21,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Yankee Cove","B16",58.60133333,-134.9186667,,"Sand-Gravel",,"Lynn Canal","Yankee Cove",,,"yes",FALSE,FALSE,,FALSE
22,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Yankee Cove","B17",58.59016667,-134.9045,,"Sand-Gravel",,"Lynn Canal","Yankee Cove",,,"yes",FALSE,FALSE,,FALSE
23,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","B01",57.2958333,-133.8655556,,"Sand-Gravel",,"Frederick Sound","Brothers Islands","West Brother Island","West Brother","yes",FALSE,FALSE,,FALSE
24,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","B02",57.3036111,-133.8602778,,"Kelp",,"Frederick Sound","Brothers Islands","West Brother Island","West Brother","yes",FALSE,FALSE,,FALSE
25,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","B03",57.3077778,-133.8497222,,"Kelp",,"Frederick Sound","Brothers Islands","West Brother Island","West Brother","yes",FALSE,FALSE,,FALSE
26,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","B04",57.3086111,-133.8313888,,"Kelp",,"Frederick Sound","Brothers Islands","East Brother Island","East Brother","yes",FALSE,FALSE,,FALSE
29,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","B05",57.3091666,-133.8161111,,"Kelp",,"Frederick Sound","Brothers Islands","East Brother Island","East Brother","yes",FALSE,FALSE,,FALSE
30,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","B06",57.2988888,-133.8233333,,"Sand-Gravel",,"Frederick Sound","Brothers Islands","East Brother Island","East Brother","yes",FALSE,FALSE,,FALSE
31,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","B07",57.2927777,-133.815,,"Eelgrass",,"Frederick Sound","Brothers Islands","East Brother Island","East Brother","yes",FALSE,FALSE,,FALSE
32,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","B08",57.2997222,-133.825,,"Kelp",,"Frederick Sound","Brothers Islands","East Brother Island","East Brother","yes",FALSE,FALSE,,FALSE
33,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","B09",57.2894444,-133.8633333,,"Kelp",,"Frederick Sound","Brothers Islands","West Brother Island","West Brother","yes",FALSE,FALSE,,FALSE
35,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","B10",57.3026166,-133.80445,,"Bedrock",,"Frederick Sound","Brothers Islands","East Brother Island","East Brother","yes",FALSE,FALSE,,FALSE
36,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","B11",57.3037166,-133.8433333,,"Bedrock",,"Frederick Sound","Brothers Islands","West Brother Island","West Brother","yes",FALSE,FALSE,,FALSE
37,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, Little Brother Island","B12",57.2986833,-133.79635,,"Bedrock",,"Frederick Sound","Brothers Islands","Little Brother Island","Little Brother","yes",FALSE,FALSE,,FALSE
38,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","B13",57.3033,-133.8630333,,"Bedrock",,"Frederick Sound","Brothers Islands","West Brother Island","West Brother","yes",FALSE,FALSE,,FALSE
39,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","B14",57.2828666,-133.8416666,,"Bedrock",,"Frederick Sound","Brothers Islands","West Brother Island","West Brother","yes",FALSE,FALSE,,FALSE
40,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J01",58.5666,-134.9097,,"Sand-Gravel",,"Lynn Canal","Benjamin Island",,"East Benjamin","yes",FALSE,FALSE,,FALSE
41,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J02",58.5799,-134.9366,,"Sand-Gravel",,"Lynn Canal","Benjamin Island",,"North Benjamin","yes",FALSE,FALSE,,FALSE
42,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J03",58.5704,-134.9262,,"Sand-Gravel",,"Lynn Canal","Benjamin Island",,"West Benjamin","yes",FALSE,FALSE,,FALSE
43,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, North Island","J05",58.581,-134.9397,,"Sand-Gravel",,"Lynn Canal","Benjamin Island","North Island","North Island","yes",FALSE,FALSE,,FALSE
44,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J06",58.5709,-134.912,,"Sand-gravel",,"Lynn Canal","Benjamin Island",,"East Benjamin","yes",FALSE,FALSE,,FALSE
45,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J07",58.5644,-134.9213,,"Sand-Gravel",,"Lynn Canal","Benjamin Island",,"West Benjamin","yes",FALSE,FALSE,,FALSE
46,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J08",58.5565,-134.913,,"Sand-Gravel",,"Lynn Canal","Benjamin Island",,"West Benjamin","yes",FALSE,FALSE,,FALSE
47,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J09",58.5698,-134.8852,,"not reported",,"Lynn Canal","Benjamin Island",,"East Benjamin","yes",FALSE,FALSE,,FALSE
48,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J10",58.5563,-134.87,,"not reported",,"Lynn Canal","Benjamin Island",,"East Benjamin","yes",FALSE,FALSE,,FALSE
49,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J11",58.5524,-134.9011,,"not reported",,"Lynn Canal","Benjamin Island",,"South Benjamin","yes",FALSE,FALSE,,FALSE
50,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J12",58.5511,-134.907,,"not reported",,"Lynn Canal","Benjamin Island",,"South Benjamin","yes",FALSE,FALSE,,FALSE
51,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J13",58.5536,-134.9065,,"not reported",,"Lynn Canal","Benjamin Island",,"South Benjamin","yes",FALSE,FALSE,,FALSE
52,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Sentinel Island","J14",58.5523,-134.9305,,"not reported",,"Lynn Canal","Benjamin Island","Sentinel Island","Sentinel Island","yes",FALSE,FALSE,,FALSE
53,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, North Island","J15",58.5756,-134.9391,,"not reported",,"Lynn Canal","Benjamin Island","North Island","North Island","yes",FALSE,FALSE,,FALSE
54,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, North Island","J04",58.5773,-134.9179,,"not reported",,"Lynn Canal","Benjamin Island","North Island","North Island","yes",FALSE,FALSE,,FALSE
55,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J01",57.2751,-133.8445,,"not reported",,"Frederick Sound","Brothers Islands","West Brother Island","West Brother","yes",FALSE,FALSE,,FALSE
56,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J02",57.2847,-133.8393,,"not reported",,"Frederick Sound","Brothers Islands","West Brother Island","West Brother","yes",FALSE,FALSE,,FALSE
57,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","J03",57.3101,-133.8316,,"not reported",,"Frederick Sound","Brothers Islands","East Brother Island","East Brother","yes",FALSE,FALSE,,FALSE
58,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J04",57.2882,-133.8737,,"not reported",,"Frederick Sound","Brothers Islands","West Brother Island","West Brother","yes",FALSE,FALSE,,FALSE
59,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","J05",57.3,-133.8047,,"not reported",,"Frederick Sound","Brothers Islands","East Brother Island","East Brother","yes",FALSE,FALSE,,FALSE
60,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, Little Brother Island","J06",57.2995,-133.7933,,"not reported",,"Frederick Sound","Brothers Islands","Little Brother Island","Little Brother","yes",FALSE,FALSE,,FALSE
61,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, Little Brother Island","J07",57.2928,-133.7978,,"not reported",,"Frederick Sound","Brothers Islands","Little Brother Island","Little Brother","yes",FALSE,FALSE,,FALSE
62,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","J08",57.307,-133.8072,,"not reported",,"Frederick Sound","Brothers Islands","East Brother Island","East Brother","yes",FALSE,FALSE,,FALSE
63,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","J09",57.3167,-133.8212,,"not reported",,"Frederick Sound","Brothers Islands","East Brother Island","East Brother","yes",FALSE,FALSE,,FALSE
64,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J10",57.3053,-133.842,,"not reported",,"Frederick Sound","Brothers Islands","West Brother Island","West Brother","yes",FALSE,FALSE,,FALSE
65,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J11",57.3102,-133.8596,,"not reported",,"Frederick Sound","Brothers Islands","West Brother Island","West Brother","yes",FALSE,FALSE,,FALSE
66,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J12",57.2977,-133.8725,,"not reported",,"Frederick Sound","Brothers Islands","West Brother Island","West Brother","yes",FALSE,FALSE,,FALSE
67,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J13",57.304,-133.8643,,"not reported",,"Frederick Sound","Brothers Islands","West Brother Island","West Brother","yes",FALSE,FALSE,,FALSE
68,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","J14",57.3039,-133.8384,,"not reported",,"Frederick Sound","Brothers Islands","East Brother Island","East Brother","yes",FALSE,FALSE,,FALSE
69,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","J15",57.3176,-133.8269,,"not reported",,"Frederick Sound","Brothers Islands","East Brother Island","East Brother","yes",FALSE,FALSE,,FALSE
70,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J16",57.283,-133.847,,"not reported",,"Frederick Sound","Brothers Islands","West Brother Island","West Brother","yes",FALSE,FALSE,,FALSE
71,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J17",57.3101,-133.854,,"not reported",,"Frederick Sound","Brothers Islands","West Brother Island","West Brother","yes",FALSE,FALSE,,FALSE
72,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","J18",57.2981,-133.8057,,"not reported",,"Frederick Sound","Brothers Islands","East Brother Island","East Brother","yes",FALSE,FALSE,,FALSE
91,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Chaik Bay","B01",57.31333333,-134.4727778,,"Eelgrass",,"Admiralty Island","Chaik Bay",,,"yes",FALSE,FALSE,,FALSE
92,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Chaik Bay","B02",57.31416667,-134.4711111,,"Eelgrass",,"Admiralty Island","Chaik Bay",,,"yes",FALSE,FALSE,,FALSE
93,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Funter Bay","B03",58.25527778,-134.9097222,,"Eelgrass",,"Admiralty Island","Funter Bay",,"West Funter Eelgrass Monitoring","yes",FALSE,FALSE,,FALSE
94,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Funter Bay","B04",58.25694444,-134.9002778,,"Eelgrass",,"Admiralty Island","Funter Bay",,"East Funter Eelgrass Monitoring","yes",FALSE,FALSE,,FALSE
97,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Funter Bay","B11",58.2495,-134.9075,,"Sand-Gravel",,"Admiralty Island","Funter Bay",,,"yes",FALSE,FALSE,,FALSE
98,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Funter Bay","B12",58.2483,-134.9081,,"Sand-Gravel",,"Admiralty Island","Funter Bay",,,"yes",FALSE,FALSE,,FALSE
99,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Funter Bay","B09",58.25027778,-134.8952778,,"Kelp",,"Admiralty Island","Funter Bay",,,"yes",FALSE,FALSE,,FALSE
100,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Funter Bay","B10",58.255,-134.8880556,,"Kelp",,"Admiralty Island","Funter Bay",,,"yes",FALSE,FALSE,,FALSE
101,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Funter Bay","B07",58.2553,-134.9106,,"Eelgrass",,"Admiralty Island","Funter Bay",,,"yes",FALSE,FALSE,,FALSE
102,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Funter Bay","B08",58.255,-134.9058,,"Eelgrass",,"Admiralty Island","Funter Bay",,,"yes",FALSE,FALSE,,FALSE
103,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Pybus Bay","B13",57.37638889,-134.1836111,,"Eelgrass",,"Admiralty Island","Pybus Bay",,,"yes",FALSE,FALSE,,FALSE
104,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Pybus Bay","B14",57.38722222,-134.1761111,,"Eelgrass",,"Admiralty Island","Pybus Bay",,,"yes",FALSE,FALSE,,FALSE
105,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Pybus Bay","B15",57.36722222,-134.1377778,,"Kelp",,"Admiralty Island","Pybus Bay",,,"yes",FALSE,FALSE,,FALSE
106,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Pybus Bay","B16",57.33777778,-134.1222222,,"Kelp",,"Admiralty Island","Pybus Bay",,,"yes",FALSE,FALSE,,FALSE
107,"GOA","Gulf of Alaska","southeastern Alaska, Baker Island, Port San Antonio","B01",55.36583333,-133.5855556,,"Eelgrass",,"Baker Island","Port San Antonio",,"San Antonio Bay","yes",FALSE,FALSE,,FALSE
108,"GOA","Gulf of Alaska","southeastern Alaska, Baker Island, Port San Antonio","B02",55.3575,-133.5869444,,"Eelgrass",,"Baker Island","Port San Antonio",,"San Antonio Bay","yes",FALSE,FALSE,,FALSE
109,"GOA","Gulf of Alaska","southeastern Alaska, Baker Island, Port San Antonio","B03",55.35972222,-133.5883333,,"Kelp",,"Baker Island","Port San Antonio",,"San Antonio Bay","yes",FALSE,FALSE,,FALSE
110,"GOA","Gulf of Alaska","southeastern Alaska, Baker Island, Port San Antonio","B04",55.35972222,-133.5877778,,"Kelp",,"Baker Island","Port San Antonio",,"San Antonio Bay","yes",FALSE,FALSE,,FALSE
111,"GOA","Gulf of Alaska","southeastern Alaska, Baranof Island, Port Conclusion, Ship Cove","B01",56.25361111,-134.6652778,,"Kelp",,"Baranof Island","Port Conclusion","Ship Cove",,"yes",FALSE,FALSE,,FALSE
112,"GOA","Gulf of Alaska","southeastern Alaska, Baranof Island, Port Conclusion, Ship Cove","B02",56.25527778,-134.6633333,,"Kelp",,"Baranof Island","Port Conclusion","Ship Cove",,"yes",FALSE,FALSE,,FALSE
113,"GOA","Gulf of Alaska","southeastern Alaska, Baranof Island, Cosmos Cove","B39",57.2425,-134.8716667,,"Eelgrass",,"Baranof Island","Cosmos Cove",,,"yes",FALSE,FALSE,,FALSE
114,"GOA","Gulf of Alaska","southeastern Alaska, Baranof Island, Cosmos Cove","B40",57.24277778,-134.8811111,,"Eelgrass",,"Baranof Island","Cosmos Cove",,,"yes",FALSE,FALSE,,FALSE
115,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Hoonah Sound","B01",57.75972222,-135.7930556,,"Eelgrass",,"Chichagof Island","Hoonah Sound",,,"yes",FALSE,FALSE,,FALSE
116,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Hoonah Sound","B02",57.74305556,-135.7930556,,"Eelgrass",,"Chichagof Island","Hoonah Sound",,,"yes",FALSE,FALSE,,FALSE
117,"GOA","Gulf of Alaska","southeastern Alaska, Baranof Island, Kelp Bay","B03",57.26972222,-134.8683333,,"Kelp",,"Baranof Island","Kelp Bay",,,"yes",FALSE,FALSE,,FALSE
118,"GOA","Gulf of Alaska","southeastern Alaska, Baranof Island, Kelp Bay","B04",57.26555556,-134.8858333,,"Kelp",,"Baranof Island","Kelp Bay",,,"yes",FALSE,FALSE,,FALSE
119,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Port Frederick, Neka Bay","B05",58.04971667,-135.6706,,"Eelgrass",,"Chichagof Island","Neka Bay","Port Frederick",,"yes",FALSE,FALSE,,FALSE
120,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Port Frederick, Neka Bay","B06",58.05,-135.6725,,"Eelgrass",,"Chichagof Island","Neka Bay","Port Frederick",,"yes",FALSE,FALSE,,FALSE
121,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Port Frederick, Neka Bay","B07",58.03277778,-135.6422222,,"Kelp",,"Chichagof Island","Neka Bay","Port Frederick",,"yes",FALSE,FALSE,,FALSE
122,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Port Frederick, Neka Bay","B08",58.05222222,-135.6458333,,"Kelp",,"Chichagof Island","Neka Bay","Port Frederick",,"yes",FALSE,FALSE,,FALSE
123,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Port Althorp","B09",58.11111111,-136.2788889,,"Eelgrass",,"Chichagof Island","Port Althorp",,,"yes",FALSE,FALSE,,FALSE
124,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Port Althorp","B10",58.10944444,-136.275,,"Eelgrass",,"Chichagof Island","Port Althorp",,,"yes",FALSE,FALSE,,FALSE
125,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Port Althorp","B11",58.15527778,-136.3080556,,"Kelp",,"Chichagof Island","Port Althorp",,,"yes",FALSE,FALSE,,FALSE
126,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Port Althorp","B12",58.12972222,-136.3,,"Kelp",,"Chichagof Island","Port Althorp",,,"yes",FALSE,FALSE,,FALSE
127,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Sitkoh Bay","B13",57.5325,-134.9761111,,"Eelgrass",,"Chichagof Island","Sitkoh Bay",,,"yes",FALSE,FALSE,,FALSE
128,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Sitkoh Bay","B14",57.53027778,-134.9766667,,"Eelgrass",,"Chichagof Island","Sitkoh Bay",,,"yes",FALSE,FALSE,,FALSE
129,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Sitkoh Bay","B15",57.52638889,-134.9675,,"Sand-Gravel",,"Chichagof Island","Sitkoh Bay",,,"yes",FALSE,FALSE,,FALSE
130,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Sitkoh Bay","B16",57.52527778,-134.9669444,,"Sand-Gravel",,"Chichagof Island","Sitkoh Bay",,,"yes",FALSE,FALSE,,FALSE
131,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Craig airport","B01",55.57776667,-133.0941,,"Eelgrass",,"Prince of Wales Island","Klawock Inlet",,"Craig Airport","yes",FALSE,FALSE,,FALSE
132,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Craig airport","B02",55.57722222,-133.0944444,,"Eelgrass",,"Prince of Wales Island","Klawock Inlet",,"Craig Airport","yes",FALSE,FALSE,,FALSE
133,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Craig boat ramp","B03",55.56194444,-133.0997222,,"Sand-Gravel",,"Prince of Wales Island","Klawock Inlet",,"Craig Boat Ramp","yes",FALSE,FALSE,,FALSE
134,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Craig boat ramp","B04",55.56222222,-133.0994444,,"Sand-Gravel",,"Prince of Wales Island","Klawock Inlet",,"Craig Boat Ramp","yes",FALSE,FALSE,,FALSE
135,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Cole Island","B05",55.5,-133.1644444,,"Eelgrass",,"Prince of Wales Island","Klawock Inlet","Cole Island","Craig, Cole Island","yes",FALSE,FALSE,,FALSE
136,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Cole Island","B06",55.50027778,-133.1647222,,"Eelgrass",,"Prince of Wales Island","Klawock Inlet","Cole Island","Craig, Cole Island","yes",FALSE,FALSE,,FALSE
137,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, False Island","B07",55.48715,-133.1414167,,"Eelgrass",,"Prince of Wales Island","Klawock Inlet","False Island","Craig, False Island","yes",FALSE,FALSE,,FALSE
138,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, False Island","B08",55.48748333,-133.1414167,,"Eelgrass",,"Prince of Wales Island","Klawock Inlet","False Island","Craig, False Island","yes",FALSE,FALSE,,FALSE
139,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Fish Egg Island","B09",55.50083333,-133.1672222,,"Kelp",,"Prince of Wales Island","Klawock Inlet","Fish Egg Island","Craig, Fish Egg Island control","yes",FALSE,FALSE,,FALSE
140,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Fish Egg Island","B10",55.50111111,-133.1675,,"Kelp",,"Prince of Wales Island","Klawock Inlet","Fish Egg Island","Craig, Fish Egg Island control","yes",FALSE,FALSE,,FALSE
141,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Craig sawmill","B11",55.53611111,-133.1055556,,"Eelgrass",,"Prince of Wales Island","Klawock Inlet",,"Craig Sawmill","yes",FALSE,FALSE,,FALSE
142,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Craig sawmill","B12",55.53583333,-133.1052778,,"Eelgrass",,"Prince of Wales Island","Klawock Inlet",,"Craig Sawmill","yes",FALSE,FALSE,,FALSE
