Group,Scientific Name,Common Name,Life Stage,Total (# Sized),Mean,Range,Type
Fish,Pallasina barbata,Tubenose Poacher,J/A,65 (65),58,(22-121),TL
Fish,Pallasina barbata,Tubenose Poacher,YOY,4 (4),28,(22-36),TL
Fish,Parophrys vetulus,English Sole,J/A,232 (127),71,(37-197),TL
Fish,Pholis laeta,Crescent Gunnel,J/A,23 (23),135,(42-178),TL
Fish,Pholis laeta,Crescent Gunnel,YOY,4 (4),28,(22-34),TL
Fish,Platichthys stellatus,Starry Flounder,A,2 (2),545,(490-600),TL
Fish,Platichthys stellatus,Starry Flounder,J/A,19 (19),209,(55-490),TL
Fish,Pleuronectes quadrituberculatus,Alaska Plaice,J,3 (3),84,(43-110),TL
Fish,Pleuronectidae,Unidentified Flatfish,J,14 (14),31,(17-45),TL
Fish,Pleuronectidae,Unidentified Flatfish,J/A,1 (1),15,--,--
Fish,Pleuronectidae,Unidentified Flatfish,YOY,587 (235),23,(8-48),TL
Fish,Podothecus accipenserinus,Sturgeon Poacher,J/A,139 (98),39,(20-135),TL
Fish,Podothecus accipenserinus,Sturgeon Poacher,YOY,136 (80),27,(12-36),TL
Fish,Psettichthys melanostictus,Sand Sole,A,2 (2),332,(259-404),TL
Fish,Psettichthys melanostictus,Sand Sole,J/A,156 (156),97,(28-280),TL
Fish,Salvelinus malma,Dolly Varden,A,4 (5),407,(348-500),FL
Fish,Salvelinus malma,Dolly Varden,J/A,83 (105),167,(110-253),FL
Fish,Spirinchus thaleichthys,Longfin Smelt,J/A,1 (1),142,--,--
Fish,Trichodon trichodon,Sandfish,J/A,93 (27),153,(87-225),FL
Fish,Trichodon trichodon,Sandfish,YOY,5 (5),19,(10-27),FL
Invert,Crangonidae,Sand Shrimp,J/A,1168 (719),43,(10-82),RTL
Invert,Heptacarpus spp.,Heptacarpus Shrimp,J/A,7 (7),40,(25-49),RTL
Invert,Metacarcinus magister,Dungeness Crab,J/A,22 (22),79,(25-172),CW
Invert,Oregonia gracilis,Graceful Decorator Crab,J/A,16 (16),13,(5-40),CW
Invert,Paguridae,Hermit Crab,J/A,6 (0),--,--,--
Invert,Pugettia gracilis,Graceful Kelp Crab,J/A,3 (3),7,(4-10),CW
Invert,Telmessus cheiragonus,Helmut Crab,J/A,3 (3),55,(45-66),CW
NA,NA,No fish,J/A,0 (0),--,--,--
